Marka,Fiyat,İşlemci Tipi,SSD Kapasitesi,Ram (Sistem Belleği),Ekran Kartı,Kapasite,İşletim Sistemi,Ekran Kartı Bellek Tipi,Ekran Kartı Tipi,Garanti Tipi,Ram (Sistem Belleği) Tipi,İşlemci Çekirdek Sayısı,İşlemci Nesli,İşlemci Modeli,Çözünürlük,Power Supply,Kullanım Amacı,Ekran Kartı Hafızası,Temel İşlemci Hızı (GHz),Bağlantılar,Cihaz Ağırlığı,Ekran Boyutu,İşlemci Frekansı,Ekran Yenileme Hızı,Panel Tipi,Menşei,Arttırılabilir Azami Bellek
XASER,13716.9,Intel Core i5,512 GB,16 GB,AMD Radeon RX 550,512 GB,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,Resmi Distribütör Garantili,DDR3,4,3. Nesil,3470,,,,,,,,,,,,,
DMC,13678.0,Intel Core i5,512 GB,16 GB,Nvidia Geforce GT 740,Yok,Windows,DDR3,Harici,Resmi Distribütör Garantili,DDR3,4,3. Nesil,İ5-3470,1920 x 1080,350 - 500 W,Oyun,4 GB ve altı,3.2,HDMI,Belirtilmemiş,24 inç,3.00 GHz üstü,75 Hz,,,
XASER,12857.74,Intel Core i5,512 GB,16 GB,AMD Radeon RX 580,512 GB,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,Resmi Distribütör Garantili,DDR3,4,4. Nesil,4590,,,,,,,,,,,,,
DMC,20799.0,Intel Core i5,256 GB,32 GB,AMD Radeon RX 580,256 GB,Windows,GDDR5,Harici,Resmi Distribütör Garantili,DDR4,6,Belirtilmemiş,9400F,1920 x 1080,350 - 500 W,Oyun,8 GB,2.9,HDMI,Belirtilmemiş,"24"" / 61 Ekran",,165 Hz,VA,TR,
XASER,12834.62,Intel Core i5,512 GB,16 GB,AMD Radeon RX 550,512 GB,Free Dos (İşletim Sistemi Yok),GDDR5,Harici,Resmi Distribütör Garantili,DDR3,4,4. Nesil,4590,,,,,,,,,,,,,
Zeiron,13184.0,,256 GB,,,1 TB,,,,Zeiron TÃ¼rkiye Garantili,,,,,,500 W ve Ã¼stÃ¼,,,,,,"24"" / 61 Ekran",,,VA,,
DMC,6213.0,Intel Core i5,,16 GB,Intel HD Graphics,256 GB,Windows,Dahili,Dahili,Resmi Distribütör Garantili,DDR3,4,Belirtilmemiş,2400,1920 x 1080,250 - 350 W,Ofis - İş,Paylaşımlı,3.1,VGA - HDMI,Belirtilmemiş,"19"" / 48 Ekran",,75 Hz,TN,,16 GB
Zeiron,8909.01,Intel Core i5,256 GB,16 GB,Intel HD Graphics,500 GB,Windows,Dahili,Dahili,Zeiron Türkiye Garantili,DDR3,4,3. Nesil,İ5-3470,1920 x 1080,250 - 350 W,Ofis - İş,Paylaşımlı,3.2,HDMI,4 kg ve üzeri,24 inç,3.00 GHz üstü,75 Hz,TN,,16 GB
DMC,16499.0,Intel Core i5,256 GB,16 GB,Nvidia GeForce GTX 1650,500 GB,Windows,GDDR6,Harici,Resmi Distribütör Garantili,DDR3,4,Belirtilmemiş,İ5-3470,1920 x 1080,350 - 500 W,Oyun,4 GB ve altı,3.2,HDMI,Belirtilmemiş,"24"" / 61 Ekran",,75 Hz,IPS,TR,
jetucuzal,6390.0,Intel Core i5,,,Intel HD Graphics,256 GB,Free Dos (İşletim Sistemi Yok),Dahili,Dahili,İthalatçı Garantili,,4,2. Nesil,2400,,,,,,VGA - HDMI,Belirtilmemiş,"19"" / 48 Ekran",,,,,
DMC,12299.0,Intel Core i5,,16 GB,Nvidia Geforce GT 740,256 GB,Windows,DDR3,Harici,Resmi Distribütör Garantili,DDR3,4,Belirtilmemiş,3470,1920 x 1080,350 - 500 W,Oyun,4 GB ve altı,3.2,HDMI,Belirtilmemiş,"24"" / 61 Ekran",3.00 GHz üstü,75 Hz,VA,TR,16 GB
Life Teknoloji,5999.99,Intel Core i5,256 GB,16 GB,Dahili Ekran Kartı,256 GB,Windows,DDR3,Dahili,İthalatçı Garantili,DDR3,4,2. Nesil,2400,1920 x 1080,250 - 350 W,Ev - Okul,Paylaşımlı,3.1,VGA - HDMI,2 - 4 kg,"19"" / 48 Ekran",3.00 GHz üstü,60 Hz,IPS,DE,256 GB
